uid,created_at,cntr_id,year,month,day,hour,week
-5299258208253825418,1476431383,135723,2016,10,14,15,5
-5299258208253825418,1476431394,135723,2016,10,14,15,5
-5299258208253825418,1476754603,135723,2016,10,18,9,2
-5299258208253825418,1479282880,135723,2016,11,16,15,3
-5299258208253825418,1479283051,135723,2016,11,16,15,3
-5299258208253825418,1485847217,98821,2017,1,31,15,2
-5299258208253825418,1485847224,98821,2017,1,31,15,2
-5299258208253825418,1485847228,98821,2017,1,31,15,2
-5299258208253825418,1485847234,98821,2017,1,31,15,2
-5299258208253825418,1485847240,98821,2017,1,31,15,2
-5299258208253825418,1486003349,98821,2017,2,2,10,4
-5299258208253825418,1488971544,126391,2017,3,8,19,3
-5299258208253825418,1489497714,126391,2017,3,14,21,2
-5299258208253825418,1489584855,126391,2017,3,15,21,3
-5299258208253825418,1490008348,135723,2017,3,20,19,1
-5299258208253825418,1490008356,135723,2017,3,20,19,1
-5299258208253825418,1490008365,135723,2017,3,20,19,1
-5299258208253825418,1512898735,126391,2017,12,10,17,0
-5299258208253825418,1512958240,135723,2017,12,11,10,1
-5299258208253825418,1513670692,135723,2017,12,19,16,2
4533231686687193022,1471839814,161408,2016,8,22,12,1
4533231686687193022,1472456295,172177,2016,8,29,15,1
4533231686687193022,1472564647,185659,2016,8,30,21,2
4533231686687193022,1472619675,168776,2016,8,31,13,3
4533231686687193022,1472663886,185659,2016,9,1,1,4
4533231686687193022,1472747794,185659,2016,9,2,0,5
4533231686687193022,1472781052,172177,2016,9,2,9,5
4533231686687193022,1472872725,172177,2016,9,3,11,6
4533231686687193022,1474079394,2218,2016,9,17,10,6
4533231686687193022,1474299415,185659,2016,9,19,23,1
4533231686687193022,1474560907,185659,2016,9,23,0,5
4533231686687193022,1476458701,184650,2016,10,14,23,5
4533231686687193022,1476631365,184650,2016,10,16,23,0
4533231686687193022,1476924288,185659,2016,10,20,8,4
4533231686687193022,1476977665,185659,2016,10,20,23,4
4533231686687193022,1477064438,184650,2016,10,21,23,5
4533231686687193022,1477744553,172177,2016,10,29,20,6
4533231686687193022,1478374403,206229,2016,11,6,3,0
4533231686687193022,1478677895,172177,2016,11,9,15,3
4533231686687193022,1479106804,172177,2016,11,14,15,1
4533231686687193022,1485172829,2564,2017,1,23,20,1
4533231686687193022,1491139085,2564,2017,4,2,21,0
4533231686687193022,1492956529,184650,2017,4,23,22,0
4533231686687193022,1494086267,184650,2017,5,6,23,6
4533231686687193022,1494242768,172177,2017,5,8,19,1
4533231686687193022,1494348248,185659,2017,5,10,0,3
4533231686687193022,1495264095,172177,2017,5,20,15,6
4533231686687193022,1496043428,2564,2017,5,29,15,1
4533231686687193022,1498581157,185659,2017,6,28,0,3
4533231686687193022,1498618055,172177,2017,6,28,10,3
4533231686687193022,1498664824,184650,2017,6,28,23,3
4533231686687193022,1498836948,184650,2017,6,30,23,5
4533231686687193022,1498905951,184650,2017,7,1,18,6
4533231686687193022,1498960715,184650,2017,7,2,9,0
4533231686687193022,1498987161,185659,2017,7,2,17,0
4533231686687193022,1499095190,184650,2017,7,3,23,1
4533231686687193022,1499143830,172177,2017,7,4,12,2
4533231686687193022,1499156798,172177,2017,7,4,16,2
4533231686687193022,1514269969,172177,2017,12,26,14,2
4533231686687193022,1514334373,184650,2017,12,27,8,3
4533231686687193022,1514476049,185659,2017,12,28,23,4
4533231686687193022,1514719729,2218,2017,12,31,19,0
-6003686503184818435,1442911882,2202,2015,9,22,16,2
-6003686503184818435,1445493065,6124,2015,10,22,13,4
-6003686503184818435,1447590195,2202,2015,11,15,20,0
-6003686503184818435,1451570913,5042,2015,12,31,22,4
-6003686503184818435,1455761618,2202,2016,2,18,10,4
-6003686503184818435,1455981889,5042,2016,2,20,23,6
-6003686503184818435,1456152430,2202,2016,2,22,22,1
-6003686503184818435,1456298611,2202,2016,2,24,15,3
-6003686503184818435,1471567180,6124,2016,8,19,8,5
-6003686503184818435,1472361794,5042,2016,8,28,13,0
-6003686503184818435,1472465737,2202,2016,8,29,18,1
-6003686503184818435,1473088270,5042,2016,9,5,23,1
-6003686503184818435,1473505590,3815,2016,9,10,19,6
-6003686503184818435,1474892063,5042,2016,9,26,20,1
-6003686503184818435,1474966484,11758,2016,9,27,16,2
-6003686503184818435,1475413461,5042,2016,10,2,21,0
-6003686503184818435,1476714339,9679,2016,10,17,22,1
-6003686503184818435,1476863119,9679,2016,10,19,15,3
-6003686503184818435,1477230241,5042,2016,10,23,21,0
-6003686503184818435,1477996608,9679,2016,11,1,18,2
-6003686503184818435,1478948032,5042,2016,11,12,18,6
-6003686503184818435,1479221745,3993,2016,11,15,22,2
-6003686503184818435,1479912302,5042,2016,11,23,22,3
-6003686503184818435,1481586931,9679,2016,12,13,7,2
-6003686503184818435,1482502447,5042,2016,12,23,22,5
-6003686503184818435,1482735203,9679,2016,12,26,14,1
-6003686503184818435,1483082530,9679,2016,12,30,15,5
-6003686503184818435,1483092559,5042,2016,12,30,18,5
-6003686503184818435,1483151645,3815,2016,12,31,10,6
-6003686503184818435,1484183265,9679,2017,1,12,9,4
-6003686503184818435,1484557723,9679,2017,1,16,17,1
-6003686503184818435,1484638680,9679,2017,1,17,15,2
-6003686503184818435,1485330812,9679,2017,1,25,15,3
-6003686503184818435,1485846368,9679,2017,1,31,15,2
-6003686503184818435,1486212895,5042,2017,2,4,20,6
-6003686503184818435,1486395429,5042,2017,2,6,23,1
-6003686503184818435,1486543760,9679,2017,2,8,16,3
-6003686503184818435,1487769859,5042,2017,2,22,21,3
